Town,Hours,Status
Arlington,15:20,Town
Auburn,16:00,Private
Brighton (Daly),12:30,Private
Brighton (Reilly),12:00,DCR
Charlestown,12:00,DCR
Dorchester,12:00,DCR
East Boston,12:00,Private
Hyde Park,12:00,DCR
Jamaica Plain,48:00,DCR
North End,35:30,DCR
South Boston,14:00,DCR
West Roxbury,17:00,Private
Brockton,14:00,Private
Cambridge,12:00,Private
Fall River,14:00,Private
Franklin,16:00,Private
Gardner,14:00,Private
Greenfield,16:00,Private
Worcester,16:00,Private
Weymouth,13:30,DCR
Waltham,11:00,Town
Taunton,12:00,Private
Springfield,12:00,Private
Somerville,9:10,Town
Saugus,2:20,Town
Revere,12:00,Private
Quincy,7:10,Private
Plymouth,16:00,Private
Peabody,22:00,Town
North Adams,9:10,Town
Newburyport,16:45,Private
New Bedford,14:00,Private
Milton (Ulin),3:40,Private
Medford (Flynn),6:30,Private
Medford (LoConte),10:00,Town
Marlboro,14:00,Private
Lowell,10:30,Private
Holyoke,14:00,Private
Haverhill,11:00,Town